Outlet,Type,Date,Country,Topic,URL,,
ScienceGuide,Magazine,28-02-2025,NL,Wetenschap kan wat AI niet kan,https://www.scienceguide.nl/2025/02/wetenschap-kan-wat-ai-niet-kan/,,
Univers,Magazine,14-01-2025,NL,Bezuinig niet op open science,https://universonline.nl/nieuws/2025/01/14/bezuinig-niet-op-open-science/,,
De Psycholoog,Magazine,1-06-2023,NL,Veni Vidi Vici Caspar van Lissa,https://www.tijdschriftdepsycholoog.nl/artikelen/programmerende-pedagoog/,,
De Psycholoog,Magazine,1-06-2023,NL,Hoeders van het Algoritme,https://www.tijdschriftdepsycholoog.nl/artikelen/hoeders-van-het-algoritme/,,
Science Magazine,Newspaper,27-04-2021,US,Get your coronavirus test join the party: Experimental mass events in the Netherlands draw fire,https://www.sciencemag.org/news/2021/04/get-your-coronavirus-test-join-party-experimental-mass-events-netherlands-draw-fire,,
3voor12,Newspaper,22-04-2021,NL,Ruim 300 wetenschappers ondertekenen open brief over Fieldlab ,https://3voor12.vpro.nl/artikelen/overzicht/2021/april/Ruim-300-wetenschappers-ondertekenen-open-brief-over-Fieldlab.html,,
NRC,Newspaper,18-04-2021,NL,Na een week vol woede over het coronabeleid blijkt het Radio 538-feest de druppel,https://www.nrc.nl/nieuws/2021/04/18/na-een-week-vol-woede-over-het-coronabeleid-blijkt-het-radio-538-feest-de-druppel-a4040273,,
NRC,Newspaper,27-04-2020,NL,Overheid wees transparant in strijd tegen het coronavirus,https://www.nrc.nl/nieuws/2020/04/27/overheid-wees-transparant-in-strijd-tegen-het-coronavirus-a3997982,,
FAIRly Open After Dark,Podcast,13-04-2021,NL,Reproducibility in scientific research ,https://fairlyopenafterdark.podbean.com/e/repeat-after-me-1618326899/,,
ARTE,TV,06-05-2020,FR/DE,Forscher kritisieren Regierung,https://www.arte.tv/de/videos/097631-000-A/niederlande-forscher-kritisieren-regierung/,,
Radio 1,Radio,27-04-2016,NL,Parenting and development,,,
Wall Street Journal,Newspaper,15-10-2013,US,Teens Are Still Developing Empathy Skills,https://www.wsj.com/articles/teens-are-still-developing-empathy-skills-1381876015,,
Wall Street Journal,Newspaper,14-04-2015,US,Teen Years Are a Window of Opportunity to Learn Empathy,https://www.wsj.com/articles/teen-years-are-a-window-of-opportunity-to-learn-empathy-1429051107,,
