Onderwijsonderdeel,Years,Bijeenkomsten,Studenten,Hoorcolleges,Werkgroepen,Coordinatie,Programma,Reader/syllabus,Powerpoint,Digitale middelen,Ontwikkeling/herziening,Bijzonderheden
Multivariate statistics (research master's),2019,9,14 (WC) +/- 50 (HC),TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
Theory construction & stat. modeling ,"2018, 2019",7,45,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Complete werkcollege- en toetsgedeelte vervangen met opdrachten in R, gebundeld in een Gitbook: https://cjvanlissa.github.io/TCSM"
ADS: Basis van Onderzoek en Statistiek ,2019,4,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Workshop: version control with Github (research master's),2019,1,10?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Zelf ontwikkelde workshop
Utalent: Help! Ik heb data (6VWO),2019,1,20,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Zelf ontwikkelde cursus
"Summer school on meta-analysis, Aix*Marseille University (FA)",2019,1,30,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Zelf ontwikkelde cursus
"Pre-conference workshop, EARA Ghent (BE)",2018,1,?,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Zelf ontwikkelde cursus
Methoden en statistiek van sociaal wetenschappelijk onderzoek (pre-master),2019,,?,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
"Methoden, Technieken en Statistiek 2 ",2018,,?,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
Advanced Course on Using Mplus  ,"2018, 2019",1,+/- 30,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Software voor mijn cursusdag geschreven en bijpassend werkgroepmateriaal ontwikkeld
Utalent: Hoera! Ik ga onderzoek doen (6VWO),2019,1,15,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Zelf ontwikkelde cursus
Marnixacademie: MTS1&2 ,2019,14,14,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
University College Utrecht: MET23 ,"2018, 2019",20,14,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,
University College Utrecht: MET2A ,2019,10,14,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
Practicum Data Analyse ,"2017, 2018, 2019",8,+/- 80,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,
"Methoden, technieken en statistiek 4 (MTS4)",2019,1,50,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
Applied Bayesian Statistics ,"2018, 2019",5,+/- 30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
MTS3 ,"2018, 2019",3,14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Quantitative Methods ,2017,8,+/- 300,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,
Kwantitatieve Methoden,2017,8,+/- 20,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,
"Father involvement, Leiden University ",2017,1,+/- 30,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Zelf ontwikkelde lezing
SPSS  (pre-master avondonderwijs; +/- 20 ss),2017,8,+/- 20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Introduction to psychology,2013,5,207,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
Young People’s identity formation ,"2013, 2014",5,+/- 20,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Zelf ontwikkelde lezing
University College Utrecht ,2015,1,14,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Zelf ontwikkelde lezing
Experimental seminar in development and socialisation research (DASCA06),2015,1,+/- 14,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Zelf ontwikkelde lezing
Test Construction,2011,?,+/- 14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Developmental psychology,2011,?,+/- 14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Academic skills,"2010, 2011",?,+/- 14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Statistics II,"2010, 2011",?,+/- 14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Developmental psychology,2008,?,+/- 14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Personality psychology,2008,?,+/- 14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Biostatistics,2006,?,+/- 30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
